T  (s),CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5cBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Inj.,Val.
5980.819824,4210.223633,4377.945312,3980.054932,-595.008118,-1405.037964,-1549.327759,-818.675659,-2826.763916,11.0,1.0
5984.279785,4210.151367,4377.37207,3979.18457,-594.250183,-1402.926025,-1548.021973,-819.608154,-2821.807373,11.0,1.0
5987.669922,4209.937988,4377.034668,3979.918945,-593.996948,-1406.374268,-1549.554932,-816.104919,-2773.744629,11.0,1.0
5991.129883,4198.26416,4376.563477,3979.279297,-597.649231,-1404.463623,-1550.867798,-820.830383,-2774.008545,11.0,1.0
5994.529785,4197.681641,4375.689941,3978.784424,-597.081543,-1407.495972,-1551.278931,-823.389099,-2776.097412,11.0,1.0
5997.970215,4197.529785,4375.624023,3978.639893,-599.232117,-1407.144531,-1550.148437,-820.409851,-2773.727783,11.0,1.0
6001.319824,4197.003906,4374.212402,3979.030762,-595.555481,-1407.717163,-1551.826416,-822.567871,-2780.975098,11.0,1.0
6004.779785,4196.473633,4375.069824,3979.908447,-596.661865,-1408.435425,-1550.843994,-822.715454,-2776.169434,11.0,1.0
6008.169922,4197.317871,4374.636719,3979.927734,-599.051819,-1408.684814,-1552.223389,-822.262024,-2779.109375,11.0,1.0
6011.629883,4197.531738,4374.319336,3979.98877,-598.297852,-1408.692261,-1557.228516,-822.745605,-2777.408447,11.0,1.0
6015.029785,4197.329102,4373.627441,3978.83252,-597.784302,-1409.309692,-1552.481812,-822.917175,-2777.197021,11.0,1.0
6018.470215,4197.299316,4373.557617,3979.24707,-598.751099,-1409.452759,-1553.332764,-823.044128,-2776.114746,11.0,1.0
6021.919922,4197.418457,4371.212402,3977.827148,-600.692871,-1409.583618,-1553.143555,-823.08197,-2777.864502,11.0,1.0
6025.319824,4195.287598,4371.061523,3978.643555,-601.173218,-1409.665894,-1554.113647,-822.567444,-2778.869629,11.0,1.0
6028.720215,4194.01709,4371.932129,3979.019043,-600.237366,-1409.712036,-1554.053955,-820.38385,-2778.281006,11.0,1.0
6032.129883,4196.084961,4371.259766,3978.098877,-600.78125,-1409.61145,-1553.415405,-822.865845,-2781.70752,11.0,1.0
6035.529785,4196.084961,4371.193359,3978.105713,-598.803528,-1409.002441,-1553.743042,-824.794739,-2778.486084,11.0,1.0
6038.919922,4196.203125,4371.697754,3979.340332,-600.774719,-1411.765747,-1555.599854,-824.330261,-2782.028564,11.0,1.0
6042.379883,4197.081543,4371.318848,3978.327393,-602.225586,-1410.744263,-1554.968872,-823.658936,-2829.718018,11.0,1.0
6045.779785,4196.157715,4369.379395,3977.314453,-600.088379,-1410.633423,-1556.74646,-823.62854,-2834.194092,11.0,1.0
6049.220215,4196.128418,4370.708496,3977.9646,-611.320312,-1412.366211,-1555.673584,-824.6521,-2832.282959,11.0,1.0
6052.629883,4196.364746,4369.925293,3977.002441,-600.861938,-1411.071533,-1555.600098,-823.866394,-2836.481934,11.0,1.0
6056.069824,4193.040039,4369.361816,3978.033936,-602.408325,-1411.112305,-1560.514038,-824.124573,-2833.374512,11.0,1.0
6059.470215,4193.361816,4367.841797,3978.399414,-606.811707,-1411.686646,-1553.569214,-824.539062,-2832.616455,11.0,1.0
6062.919922,4194.799316,4366.024902,3978.137451,-602.139526,-1408.862549,-1555.360962,-822.378479,-2842.802002,11.0,1.0
6066.379883,4196.212891,4368.314941,3974.799805,-602.290955,-1411.776489,-1551.666748,-824.458313,-2833.790283,11.0,1.0
6069.779785,4194.006348,4367.686035,3976.955322,-598.499695,-1408.918091,-1557.337891,-824.166809,-2836.338867,11.0,1.0
6073.220215,4196.384766,4367.528809,3979.185059,-601.721375,-1412.385742,-1557.847656,-825.185547,-2838.635498,11.0,1.0
6076.629883,4194.648926,4367.786621,3976.520508,-604.4953,-1412.043213,-1555.756226,-824.260376,-2835.57959,11.0,1.0
